table_id,layer,database_name,schema_name,table_name,partition_columns,primary_key,surrogate_key,scd_type2,is_active
1,bronze,lh_p3h_p3hp,bronze,member_master,file_modification_time,member_id,NULL,0,0
2,bronze,lh_p3h_p3hp,bronze,member_enrollment,file_modification_time,enrollment_id,NULL,0,1
3,bronze,lh_p3h_p3hp,bronze,provider_master,file_modification_time,provider_id,NULL,0,0
4,bronze,lh_p3h_p3hp,bronze,provider_contract,file_modification_time,contract_id,NULL,0,0
5,bronze,lh_p3h_p3hp,bronze,claim_header,file_modification_time,claim_id,NULL,0,0
6,bronze,lh_p3h_p3hp,bronze,claim_line,file_modification_time,claim_line_id,NULL,0,0
7,bronze,lh_p3h_p3hp,bronze,encounter,file_modification_time,encounter_id,NULL,0,0
8,bronze,lh_p3h_p3hp,bronze,capitation_payment,file_modification_time,payment_id,NULL,0,0
9,silver,lh_p3h_p3hp,silver,member,,member_id,member_sk,1,1
10,silver,lh_p3h_p3hp,silver,provider,,provider_id,provider_sk,1,1
11,silver,lh_p3h_p3hp,silver,claim,,claim_id,NULL,0,1
12,silver,lh_p3h_p3hp,silver,encounter,,encounter_id,NULL,0,1
13,silver,lh_p3h_p3hp,silver,payment,,payment_id,NULL,0,1
14,gold,lh_p3h_p3hp,dimension,dim_diagnosis,,NULL,NULL,0,1
15,gold,lh_p3h_p3hp,dimension,dim_member,,NULL,NULL,0,1
16,gold,lh_p3h_p3hp,dimension,dim_plan,,NULL,NULL,0,1
17,gold,lh_p3h_p3hp,dimension,dim_procedure,,NULL,NULL,0,1
18,gold,lh_p3h_p3hp,dimension,dim_provider,,NULL,NULL,0,1
19,gold,lh_p3h_p3hp,fact,fact_healthcare,,NULL,NULL,0,1
